,Tempo,CorrenteRMSM5_1020,CorrenteRMSM10_1020,CorrenteRMSM30_1020,CorrenteRMSM5_3060,CorrenteRMSM10_3060,CorrenteRMSM30_3060,Tempo,CorrenteCurtoseM5_1020,CorrenteCurtoseM10_1020,CorrenteCurtoseM30_1020,CorrenteCurtoseM5_3060,CorrenteCurtoseM10_3060,CorrenteCurtoseM30_3060,Tempo,CorrenteVarianciaM5_1020,CorrenteVarianciaM10_1020,CorrenteVarianciaM30_1020,CorrenteVarianciaM5_3060,CorrenteVarianciaM10_3060,CorrenteVarianciaM30_3060,Tempo,VibracaoCalotaInferiorRMSM5_1020,VibracaoCalotaInferiorRMSM10_1020,VibracaoCalotaInferiorRMSM30_1020,VibracaoCalotaInferiorRMSM5_3060,VibracaoCalotaInferiorRMSM10_3060,VibracaoCalotaInferiorRMSM30_3060,Tempo,VibracaoCalotaInferiorCurtoseM5_1020,VibracaoCalotaInferiorCurtoseM10_1020,VibracaoCalotaInferiorCurtoseM30_1020,VibracaoCalotaInferiorCurtoseM5_3060,VibracaoCalotaInferiorCurtoseM10_3060,VibracaoCalotaInferiorCurtoseM30_3060,Tempo,VibracaoCalotaInferiorVarianciaM5_1020,VibracaoCalotaInferiorVarianciaM10_1020,VibracaoCalotaInferiorVarianciaM30_1020,VibracaoCalotaInferiorVarianciaM5_3060,VibracaoCalotaInferiorVarianciaM10_3060,VibracaoCalotaInferiorVarianciaM30_3060,Tempo,VibracaoCalotaSuperiorRMSM5_1020,VibracaoCalotaSuperiorRMSM10_1020,VibracaoCalotaSuperiorRMSM30_1020,VibracaoCalotaSuperiorRMSM5_3060,VibracaoCalotaSuperiorRMSM10_3060,VibracaoCalotaSuperiorRMSM30_3060,Tempo,VibracaoCalotaSuperiorCurtoseM5_1020,VibracaoCalotaSuperiorCurtoseM10_1020,VibracaoCalotaSuperiorCurtoseM30_1020,VibracaoCalotaSuperiorCurtoseM5_3060,VibracaoCalotaSuperiorCurtoseM10_3060,VibracaoCalotaSuperiorCurtoseM30_3060,Tempo,VibracaoCalotaSuperiorVarianciaM5_1020,VibracaoCalotaSuperiorVarianciaM10_1020,VibracaoCalotaSuperiorVarianciaM30_1020,VibracaoCalotaSuperiorVarianciaM5_3060,VibracaoCalotaSuperiorVarianciaM10_3060,VibracaoCalotaSuperiorVarianciaM30_3060,Tempo,VazaoM5_1020,VazaoM10_1020,VazaoM30_1020,VazaoM5_3060,VazaoM10_3060,VazaoM30_3060,Tempo,lowpassRMSM5_1020,lowpassRMSM10_1020,lowpassRMSM30_1020,lowpassRMSM5_3060,lowpassRMSM10_3060,lowpassRMSM30_3060,Tempo,bandpassRMSM5_1020,bandpassRMSM10_1020,bandpassRMSM30_1020,bandpassRMSM5_3060,bandpassRMSM10_3060,bandpassRMSM30_3060,Tempo,highpassRMSM5_1020,highpassRMSM10_1020,highpassRMSM30_1020,highpassRMSM5_3060,highpassRMSM10_3060,highpassRMSM30_3060,Tempo,lowpassCurtoseM5_1020,lowpassCurtoseM10_1020,lowpassCurtoseM30_1020,lowpassCurtoseM5_3060,lowpassCurtoseM10_3060,lowpassCurtoseM30_3060,Tempo,bandpassCurtoseM5_1020,bandpassCurtoseM10_1020,bandpassCurtoseM30_1020,bandpassCurtoseM5_3060,bandpassCurtoseM10_3060,bandpassCurtoseM30_3060,Tempo,highpassCurtoseM5_1020,highpassCurtoseM10_1020,highpassCurtoseM30_1020,highpassCurtoseM5_3060,highpassCurtoseM10_3060,highpassCurtoseM30_3060
0,1.0000043675,1,0,0,1,2,0,1.0000043675,0,1,1,1,0,1,1.0000043675,1,1,1,1,0,0,1.0000043675,0,1,0,0,0,1,1.0000043675,1,1,0,2,1,1,1.0000043675,0,0,2,0,0,0,1.0000043675,2,2,1,2,1,2,1.0000043675,2,1,0,0,2,0,1.0000043675,0,2,0,1,0,1,1.0000043675,0,1,2,2,0,0,1.0000043675,0,1,1,0,2,0,1.0000043675,1,1,2,2,2,0,1.0000043675,1,1,0,1,0,1,1.0000043675,1,1,2,1,2,2,1.0000043675,2,1,2,1,0,1,1.0000043675,2,2,1,0,0,2
1,1.01667129972222,1,0,0,1,2,0,1.01667129972222,0,1,1,1,0,1,1.01667129972222,1,1,1,1,0,0,1.01667129972222,0,1,0,0,0,1,1.01667129972222,1,1,0,2,1,1,1.01667129972222,0,0,2,0,0,0,1.01667129972222,2,2,1,0,1,2,1.01667129972222,2,1,0,0,2,0,1.01667129972222,0,2,0,0,0,1,1.01667129972222,0,1,2,0,2,0,1.01667129972222,0,1,1,0,2,0,1.01667129972222,1,1,2,2,2,0,1.01667129972222,1,1,0,1,0,2,1.01667129972222,1,0,2,1,2,2,1.01667129972222,2,1,2,1,0,1,1.01667129972222,2,2,1,0,0,2
2,1.03333835194444,1,0,0,1,2,0,1.03333835194444,0,1,1,1,0,1,1.03333835194444,1,1,1,1,0,0,1.03333835194444,0,1,0,0,0,1,1.03333835194444,1,1,0,2,1,1,1.03333835194444,0,2,2,0,0,0,1.03333835194444,2,2,1,0,1,2,1.03333835194444,2,1,0,0,2,0,1.03333835194444,0,2,0,0,0,1,1.03333835194444,0,1,2,0,2,0,1.03333835194444,0,1,1,0,2,0,1.03333835194444,1,1,2,2,2,0,1.03333835194444,1,1,0,1,0,1,1.03333835194444,1,0,2,1,2,2,1.03333835194444,2,1,2,1,0,0,1.03333835194444,2,2,1,1,2,0
3,1.05000488638889,1,0,0,1,2,0,1.05000488638889,0,1,1,1,0,1,1.05000488638889,1,1,1,1,0,0,1.05000488638889,0,1,0,0,0,1,1.05000488638889,1,1,0,2,1,1,1.05000488638889,0,2,2,0,0,0,1.05000488638889,2,2,2,0,1,2,1.05000488638889,2,1,0,0,2,0,1.05000488638889,0,2,0,0,0,1,1.05000488638889,0,1,2,0,2,0,1.05000488638889,0,1,1,0,2,0,1.05000488638889,1,1,2,2,2,0,1.05000488638889,1,1,0,1,0,1,1.05000488638889,1,1,2,1,2,2,1.05000488638889,2,1,2,1,0,0,1.05000488638889,2,2,1,1,2,0
4,1.06667173916667,1,0,0,1,2,0,1.06667173916667,0,1,1,1,0,1,1.06667173916667,1,1,1,1,0,0,1.06667173916667,0,1,0,0,0,1,1.06667173916667,1,1,0,2,1,1,1.06667173916667,0,2,2,0,0,0,1.06667173916667,2,2,2,0,1,2,1.06667173916667,2,1,0,0,2,0,1.06667173916667,0,2,2,0,0,1,1.06667173916667,0,1,2,0,2,0,1.06667173916667,0,1,1,0,2,0,1.06667173916667,1,1,2,2,2,0,1.06667173916667,1,1,0,1,0,1,1.06667173916667,1,1,2,2,2,1,1.06667173916667,2,1,2,1,0,0,1.06667173916667,2,2,1,1,2,0
5,1.08333847916667,1,0,0,1,2,0,1.08333847916667,0,1,1,1,0,1,1.08333847916667,1,1,1,1,0,0,1.08333847916667,0,1,0,0,0,1,1.08333847916667,1,1,0,2,1,1,1.08333847916667,0,2,2,0,0,0,1.08333847916667,2,2,2,0,1,2,1.08333847916667,2,1,0,0,2,0,1.08333847916667,0,2,2,0,0,1,1.08333847916667,0,1,2,0,2,0,1.08333847916667,0,1,1,0,2,0,1.08333847916667,1,1,2,2,2,0,1.08333847916667,1,1,0,1,0,1,1.08333847916667,1,1,2,2,2,1,1.08333847916667,2,1,2,1,0,0,1.08333847916667,2,2,1,1,2,0
6,1.10000542333333,1,0,0,1,2,0,1.10000542333333,0,1,1,1,0,1,1.10000542333333,1,1,1,1,0,0,1.10000542333333,0,1,0,0,0,1,1.10000542333333,1,1,0,2,1,1,1.10000542333333,0,2,2,0,0,0,1.10000542333333,2,2,2,0,1,2,1.10000542333333,2,1,0,0,2,0,1.10000542333333,0,2,2,0,0,1,1.10000542333333,0,1,2,0,2,0,1.10000542333333,0,1,1,0,2,0,1.10000542333333,1,1,2,2,2,0,1.10000542333333,1,1,0,1,0,1,1.10000542333333,1,1,2,2,0,1,1.10000542333333,2,1,2,1,0,0,1.10000542333333,2,2,1,1,2,0
7,1.11667207305556,1,0,0,1,2,0,1.11667207305556,0,1,1,1,0,1,1.11667207305556,1,1,1,1,0,0,1.11667207305556,0,1,0,0,0,1,1.11667207305556,1,1,0,2,1,1,1.11667207305556,0,2,2,0,0,0,1.11667207305556,2,2,2,0,1,2,1.11667207305556,2,1,0,0,2,0,1.11667207305556,0,2,2,0,0,1,1.11667207305556,0,1,2,0,2,0,1.11667207305556,2,1,1,0,2,0,1.11667207305556,1,1,2,2,2,0,1.11667207305556,1,1,0,1,0,1,1.11667207305556,1,1,2,2,0,1,1.11667207305556,2,1,2,1,0,0,1.11667207305556,2,2,1,1,2,0
8,1.13333890416667,1,0,0,1,2,0,1.13333890416667,0,1,1,1,0,1,1.13333890416667,1,1,1,1,0,0,1.13333890416667,0,2,0,0,0,1,1.13333890416667,1,1,0,2,1,1,1.13333890416667,0,2,2,0,0,0,1.13333890416667,2,2,2,0,1,2,1.13333890416667,2,1,0,0,2,0,1.13333890416667,0,2,2,0,0,1,1.13333890416667,0,1,2,0,2,0,1.13333890416667,2,1,1,0,2,0,1.13333890416667,1,1,2,2,2,0,1.13333890416667,1,1,0,1,0,1,1.13333890416667,1,1,2,2,0,1,1.13333890416667,2,1,2,1,0,0,1.13333890416667,2,2,1,1,2,0
9,1.15000551583333,1,0,0,1,2,0,1.15000551583333,0,1,1,1,0,1,1.15000551583333,1,1,1,1,0,0,1.15000551583333,0,2,0,0,0,1,1.15000551583333,1,1,0,2,1,1,1.15000551583333,2,2,2,0,0,0,1.15000551583333,2,2,2,2,1,2,1.15000551583333,2,1,0,0,2,0,1.15000551583333,0,2,2,0,0,1,1.15000551583333,0,1,2,2,2,0,1.15000551583333,1,1,1,0,2,0,1.15000551583333,1,1,2,2,2,0,1.15000551583333,1,1,0,1,0,1,1.15000551583333,0,1,2,1,2,1,1.15000551583333,2,2,2,1,0,0,1.15000551583333,2,2,1,1,2,0
10,1.16667233305556,1,0,0,1,2,0,1.16667233305556,0,1,1,1,0,1,1.16667233305556,1,1,1,1,0,0,1.16667233305556,2,2,0,0,0,1,1.16667233305556,1,1,0,2,1,1,1.16667233305556,2,2,2,0,0,0,1.16667233305556,2,2,2,2,1,2,1.16667233305556,2,1,2,0,2,0,1.16667233305556,0,2,2,1,0,1,1.16667233305556,0,1,2,2,2,0,1.16667233305556,2,0,1,0,2,0,1.16667233305556,1,1,2,2,2,0,1.16667233305556,1,1,0,1,0,0,1.16667233305556,2,1,2,1,0,1,1.16667233305556,2,2,2,1,0,0,1.16667233305556,2,2,1,1,2,0
